No_row_of_csv_file,Axis,Description,Note
row419,x,Right_dorsal-lateral_tube_rim_secondary_landmark_25,
row420,x,Right_dorsal-lateral_tube_rim_proximal_end_primary_landmark,
row421,y,Left_dorsal_lobe_contour_upper_secondary_landmark_01,
row422,y,Left_dorsal_lobe_contour_upper_secondary_landmark_02,
row423,y,Left_dorsal_lobe_contour_upper_secondary_landmark_03,
row424,y,Left_dorsal_lobe_contour_upper_secondary_landmark_04,
row425,y,Left_dorsal_lobe_contour_upper_secondary_landmark_05,
row426,y,Left_dorsal_lobe_contour_upper_secondary_landmark_06,
row427,y,Left_dorsal_lobe_contour_upper_secondary_landmark_07,
row428,y,Left_dorsal_lobe_midrib_distal_end_primary_landmark,
row429,y,Left_dorsal_lobe_contour_lower_secondary_landmark_01,
row430,y,Left_dorsal_lobe_contour_lower_secondary_landmark_02,
row431,y,Left_dorsal_lobe_contour_lower_secondary_landmark_03,
row432,y,Left_dorsal_lobe_contour_lower_secondary_landmark_04,
row433,y,Left_dorsal_lobe_contour_lower_secondary_landmark_05,
row434,y,Left_dorsal_lobe_contour_lower_secondary_landmark_06,
row435,y,Left_dorsal_lobe_contour_lower_secondary_landmark_07,
row436,y,Left_dorsal-lateral_lobes_intersection_primary_landmark,identical to landmark_128
row437,y,Left_lateral_lobe_contour_upper_secondary_landmark_01,
row438,y,Left_lateral_lobe_contour_upper_secondary_landmark_02,
row439,y,Left_lateral_lobe_contour_upper_secondary_landmark_03,
row440,y,Left_lateral_lobe_contour_upper_secondary_landmark_04,
row441,y,Left_lateral_lobe_contour_upper_secondary_landmark_05,
row442,y,Left_lateral_lobe_contour_upper_secondary_landmark_06,
row443,y,Left_lateral_lobe_contour_upper_secondary_landmark_07,
row444,y,Left_lateral_lobe_midrib_distal_end,
row445,y,Left_lateral_lobe_contour_lower_secondary_landmark_01,
row446,y,Left_lateral_lobe_contour_lower_secondary_landmark_02,
row447,y,Left_lateral_lobe_contour_lower_secondary_landmark_03,
row448,y,Left_lateral_lobe_contour_lower_secondary_landmark_04,
row449,y,Left_lateral_lobe_contour_lower_secondary_landmark_05,
row450,y,Left_lateral_lobe_contour_lower_secondary_landmark_06,
row451,y,Left_lateral_lobe_contour_lower_secondary_landmark_07,
row452,y,Left_lateral-ventral_lobes_intersection_primary_landmark,identical to landmark_136
row453,y,Ventral_lobe_left_contour_secondary_landmark_01,
row454,y,Ventral_lobe_left_contour_secondary_landmark_02,
row455,y,Ventral_lobe_left_contour_secondary_landmark_03,
row456,y,Ventral_lobe_left_contour_secondary_landmark_04,
row457,y,Ventral_lobe_left_contour_secondary_landmark_05,
row458,y,Ventral_lobe_left_contour_secondary_landmark_06,
row459,y,Ventral_lobe_left_contour_secondary_landmark_07,
row460,y,Ventral_lobe_midrib_distal_end_primary_landmark,
row461,y,Ventral_lobe_right_contour_secondary_landmark_01,
row462,y,Ventral_lobe_right_contour_secondary_landmark_02,
row463,y,Ventral_lobe_right_contour_secondary_landmark_03,
row464,y,Ventral_lobe_right_contour_secondary_landmark_04,
row465,y,Ventral_lobe_right_contour_secondary_landmark_05,
row466,y,Ventral_lobe_right_contour_secondary_landmark_06,
row467,y,Ventral_lobe_right_contour_secondary_landmark_07,
row468,y,Right_lateral-ventral_lobes_intersection_primary_landmark,identical to landmark_144
row469,y,Right_lateral_lobe_contour_lower_secondary_landmark_01,
row470,y,Right_lateral_lobe_contour_lower_secondary_landmark_02,
row471,y,Right_lateral_lobe_contour_lower_secondary_landmark_03,
row472,y,Right_lateral_lobe_contour_lower_secondary_landmark_04,
row473,y,Right_lateral_lobe_contour_lower_secondary_landmark_05,
row474,y,Right_lateral_lobe_contour_lower_secondary_landmark_06,
row475,y,Right_lateral_lobe_contour_lower_secondary_landmark_07,
row476,y,Right_lateral_lobe_midrib_distal_end_primary_landmark,
row477,y,Right_lateral_lobe_contour_upper_secondary_landmark_01,
row478,y,Right_lateral_lobe_contour_upper_secondary_landmark_02,
row479,y,Right_lateral_lobe_contour_upper_secondary_landmark_03,
row480,y,Right_lateral_lobe_contour_upper_secondary_landmark_04,
row481,y,Right_lateral_lobe_contour_upper_secondary_landmark_05,
row482,y,Right_lateral_lobe_contour_upper_secondary_landmark_06,
row483,y,Right_lateral_lobe_contour_upper_secondary_landmark_07,
row484,y,Right_dorsal-lateral_lobes_intersection_primary_landmark,identical to landmark_152
row485,y,Right_dorsal_lobe_contour_lower_secondary_landmark_01,
row486,y,Right_dorsal_lobe_contour_lower_secondary_landmark_02,
row487,y,Right_dorsal_lobe_contour_lower_secondary_landmark_03,
row488,y,Right_dorsal_lobe_contour_lower_secondary_landmark_04,
row489,y,Right_dorsal_lobe_contour_lower_secondary_landmark_05,
row490,y,Right_dorsal_lobe_contour_lower_secondary_landmark_06,
row491,y,Right_dorsal_lobe_contour_lower_secondary_landmark_07,
row492,y,Right_dorsal_lobe_midrib_distal_end_primary_landmark,
row493,y,Right_dorsal_lobe_contour_upper_secondary_landmark_01,
row494,y,Right_dorsal_lobe_contour_upper_secondary_landmark_02,
row495,y,Right_dorsal_lobe_contour_upper_secondary_landmark_03,
row496,y,Right_dorsal_lobe_contour_upper_secondary_landmark_04,
row497,y,Right_dorsal_lobe_contour_upper_secondary_landmark_05,
row498,y,Right_dorsal_lobe_contour_upper_secondary_landmark_06,
row499,y,Right_dorsal_lobe_contour_upper_secondary_landmark_07,
row500,y,Dorsal-dorsal_lobes_intersection_primary_landmark,identical to landmark_160
row501,y,Left_dorsal_lobe_midrib_secondary_landmark_01,
row502,y,Left_dorsal_lobe_midrib_secondary_landmark_02,
row503,y,Left_dorsal_lobe_midrib_secondary_landmark_03,
row504,y,Left_dorsal_lobe_midrib_secondary_landmark_04,
row505,y,Left_dorsal_lobe_midrib_secondary_landmark_05,
row506,y,Left_dorsal_lobe_midrib_secondary_landmark_06,
row507,y,Left_dorsal_lobe_midrib_secondary_landmark_07,
row508,y,Left_dorsal_lobe_midrib_proximal_end_primary_landmark/Left_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_124
row509,y,Left_lateral_lobe_midrib_secondary_landmark_01,
row510,y,Left_lateral_lobe_midrib_secondary_landmark_02,
row511,y,Left_lateral_lobe_midrib_secondary_landmark_03,
row512,y,Left_lateral_lobe_midrib_secondary_landmark_04,
row513,y,Left_lateral_lobe_midrib_secondary_landmark_05,
row514,y,Left_lateral_lobe_midrib_secondary_landmark_06,
row515,y,Left_lateral_lobe_midrib_secondary_landmark_07,
row516,y,Left_lateral_lobe_midrib_proximal_end_primary_landmark/Left_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_132
row517,y,Ventral_lobe_midrib_secondary_landmark_01,
row518,y,Ventral_lobe_midrib_secondary_landmark_02,
row519,y,Ventral_lobe_midrib_secondary_landmark_03,
row520,y,Ventral_lobe_midrib_secondary_landmark_04,
row521,y,Ventral_lobe_midrib_secondary_landmark_05,
row522,y,Ventral_lobe_midrib_secondary_landmark_06,
row523,y,Ventral_lobe_midrib_secondary_landmark_07,
row524,y,Ventral_lobe_midrib_proximal_end_primary_landmark/Ventral_tube_midrib_distal_end_primary_landmark,identical to landmark_140
row525,y,Right_lateral_lobe_midrib_secondary_landmark_01,
row526,y,Right_lateral_lobe_midrib_secondary_landmark_02,
row527,y,Right_lateral_lobe_midrib_secondary_landmark_03,
row528,y,Right_lateral_lobe_midrib_secondary_landmark_04,
row529,y,Right_lateral_lobe_midrib_secondary_landmark_05,
row530,y,Right_lateral_lobe_midrib_secondary_landmark_06,
row531,y,Right_lateral_lobe_midrib_secondary_landmark_07,
row532,y,Right_lateral_lobe_midrib_proximal_end_primary_landmark/Right_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_148
row533,y,Right_dorsal_lobe_midrib_secondary_landmark_01,
row534,y,Right_dorsal_lobe_midrib_secondary_landmark_02,
row535,y,Right_dorsal_lobe_midrib_secondary_landmark_03,
row536,y,Right_dorsal_lobe_midrib_secondary_landmark_04,
row537,y,Right_dorsal_lobe_midrib_secondary_landmark_05,
row538,y,Right_dorsal_lobe_midrib_secondary_landmark_06,
row539,y,Right_dorsal_lobe_midrib_secondary_landmark_07,
row540,y,Right_dorsal_lobe_midrib_proximal_end_primary_landmark/Right_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_156
row541,y,Left_dorsal_lobe-tube_rim_upper_secondary_landmark_01,
row542,y,Left_dorsal_lobe-tube_rim_upper_secondary_landmark_02,
row543,y,Left_dorsal_lobe-tube_rim_upper_secondary_landmark_03,
row544,y,Left_dorsal_lobe_midrib_proximal_end_primary_landmark/Left_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_088
row545,y,Left_dorsal_lobe-tube_rim_lower_secondary_landmark_01,
row546,y,Left_dorsal_lobe-tube_rim_lower_secondary_landmark_02,
row547,y,Left_dorsal_lobe-tube_rim_lower_secondary_landmark_03,
row548,y,Left_dorsal-lateral_lobes_intersection_primary_landmark,identical to landmark_016
row549,y,Left_lateral_lobe-tube_rim_upper_secondary_landmark_01,
row550,y,Left_lateral_lobe-tube_rim_upper_secondary_landmark_02,
row551,y,Left_lateral_lobe-tube_rim_upper_secondary_landmark_03,
row552,y,Left_lateral_lobe_midrib_proximal_end_primary_landmark/Left_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_096
row553,y,Left_lateral_lobe-tube_rim_lower_secondary_landmark_01,
row554,y,Left_lateral_lobe-tube_rim_lower_secondary_landmark_02,
row555,y,Left_lateral_lobe-tube_rim_lower_secondary_landmark_03,
row556,y,Left_lateral-ventral_lobes_intersection_primary_landmark,identical to landmark_032
row557,y,Ventral_lobe-tube_rim_left_secondary_landmark_01,
row558,y,Ventral_lobe-tube_rim_left_secondary_landmark_02,
row559,y,Ventral_lobe-tube_rim_left_secondary_landmark_03,
row560,y,Ventral_lobe_midrib_proximal_end_primary_landmark/Ventral_tube_midrib_distal_end_primary_landmark,identical to landmark_104
row561,y,Ventral_lobe-tube_rim_right_secondary_landmark_01,
row562,y,Ventral_lobe-tube_rim_right_secondary_landmark_02,
row563,y,Ventral_lobe-tube_rim_right_secondary_landmark_03,
row564,y,Right_lateral-ventral_lobes_intersection_primary_landmark,identical to landmark_048
row565,y,Right_lateral_lobe-tube_rim_lower_secondary_landmark_01,
row566,y,Right_lateral_lobe-tube_rim_lower_secondary_landmark_02,
row567,y,Right_lateral_lobe-tube_rim_lower_secondary_landmark_03,
row568,y,Right_lateral_lobe_midrib_proximal_end_primary_landmark/Right_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_112
row569,y,Right_lateral_lobe-tube_rim_upper_secondary_landmark_01,
row570,y,Right_lateral_lobe-tube_rim_upper_secondary_landmark_02,
row571,y,Right_lateral_lobe-tube_rim_upper_secondary_landmark_03,
row572,y,Right_dorsal-lateral_lobes_intersection_primary_landmark,identical to landmark_064
row573,y,Right_dorsal_lobe-tube_rim_lower_secondary_landmark_01,
row574,y,Right_dorsal_lobe-tube_rim_lower_secondary_landmark_02,
row575,y,Right_dorsal_lobe-tube_rim_lower_secondary_landmark_03,
row576,y,Right_dorsal_lobe_midrib_proximal_end_primary_landmark/Right_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_120
row577,y,Right_dorsal_lobe-tube_rim_upper_secondary_landmark_01,
row578,y,Right_dorsal_lobe-tube_rim_upper_secondary_landmark_02,
row579,y,Right_dorsal_lobe-tube_rim_upper_secondary_landmark_03,
row580,y,Dorsal-dorsal_lobes_intersection_primary_landmark,identical to landmark_80
row581,y,Left_dorsal_tube_midrib_secondary_landmark_01,
row582,y,Left_dorsal_tube_midrib_secondary_landmark_02,
row583,y,Left_dorsal_tube_midrib_secondary_landmark_03,
row584,y,Left_dorsal_tube_midrib_secondary_landmark_04,
row585,y,Left_dorsal_tube_midrib_secondary_landmark_05,
row586,y,Left_dorsal_tube_midrib_secondary_landmark_06,
row587,y,Left_dorsal_tube_midrib_secondary_landmark_07,
row588,y,Left_dorsal_tube_midrib_secondary_landmark_08,
row589,y,Left_dorsal_tube_midrib_secondary_landmark_09,
row590,y,Left_dorsal_tube_midrib_secondary_landmark_10,
row591,y,Left_dorsal_tube_midrib_secondary_landmark_11,
row592,y,Left_dorsal_tube_midrib_secondary_landmark_12,
row593,y,Left_dorsal_tube_midrib_secondary_landmark_13,
row594,y,Left_dorsal_tube_midrib_secondary_landmark_14,
row595,y,Left_dorsal_tube_midrib_secondary_landmark_15,
row596,y,Left_dorsal_tube_midrib_secondary_landmark_16,
row597,y,Left_dorsal_tube_midrib_secondary_landmark_17,
row598,y,Left_dorsal_tube_midrib_secondary_landmark_18,
row599,y,Left_dorsal_tube_midrib_secondary_landmark_19,
row600,y,Left_dorsal_tube_midrib_secondary_landmark_20,
row601,y,Left_dorsal_tube_midrib_secondary_landmark_21,
row602,y,Left_dorsal_tube_midrib_secondary_landmark_22,
row603,y,Left_dorsal_tube_midrib_secondary_landmark_23,
row604,y,Left_dorsal_tube_midrib_secondary_landmark_24,
row605,y,Left_dorsal_tube_midrib_secondary_landmark_25,
row606,y,Left_dorsal_tube_midrib_proximal_end_primary_landmark,
row607,y,Left_lateral_tube_midrib_secondary_landmark_01,
row608,y,Left_lateral_tube_midrib_secondary_landmark_02,
row609,y,Left_lateral_tube_midrib_secondary_landmark_03,
row610,y,Left_lateral_tube_midrib_secondary_landmark_04,
row611,y,Left_lateral_tube_midrib_secondary_landmark_05,
row612,y,Left_lateral_tube_midrib_secondary_landmark_06,
row613,y,Left_lateral_tube_midrib_secondary_landmark_07,
row614,y,Left_lateral_tube_midrib_secondary_landmark_08,
row615,y,Left_lateral_tube_midrib_secondary_landmark_09,
row616,y,Left_lateral_tube_midrib_secondary_landmark_10,
row617,y,Left_lateral_tube_midrib_secondary_landmark_11,
row618,y,Left_lateral_tube_midrib_secondary_landmark_12,
row619,y,Left_lateral_tube_midrib_secondary_landmark_13,
row620,y,Left_lateral_tube_midrib_secondary_landmark_14,
row621,y,Left_lateral_tube_midrib_secondary_landmark_15,
row622,y,Left_lateral_tube_midrib_secondary_landmark_16,
row623,y,Left_lateral_tube_midrib_secondary_landmark_17,
row624,y,Left_lateral_tube_midrib_secondary_landmark_18,
row625,y,Left_lateral_tube_midrib_secondary_landmark_19,
row626,y,Left_lateral_tube_midrib_secondary_landmark_20,
row627,y,Left_lateral_tube_midrib_secondary_landmark_21,
row628,y,Left_lateral_tube_midrib_secondary_landmark_22,
row629,y,Left_lateral_tube_midrib_secondary_landmark_23,
row630,y,Left_lateral_tube_midrib_secondary_landmark_24,
row631,y,Left_lateral_tube_midrib_secondary_landmark_25,
row632,y,Left_lateral_tube_midrib_proximal_end_primary_landmark,
row633,y,Ventral_tube_midrib_secondary_landmark_01,
row634,y,Ventral_tube_midrib_secondary_landmark_02,
row635,y,Ventral_tube_midrib_secondary_landmark_03,
row636,y,Ventral_tube_midrib_secondary_landmark_04,
row637,y,Ventral_tube_midrib_secondary_landmark_05,
row638,y,Ventral_tube_midrib_secondary_landmark_06,
row639,y,Ventral_tube_midrib_secondary_landmark_07,
row640,y,Ventral_tube_midrib_secondary_landmark_08,
row641,y,Ventral_tube_midrib_secondary_landmark_09,
row642,y,Ventral_tube_midrib_secondary_landmark_10,
row643,y,Ventral_tube_midrib_secondary_landmark_11,
row644,y,Ventral_tube_midrib_secondary_landmark_12,
row645,y,Ventral_tube_midrib_secondary_landmark_13,
row646,y,Ventral_tube_midrib_secondary_landmark_14,
row647,y,Ventral_tube_midrib_secondary_landmark_15,
row648,y,Ventral_tube_midrib_secondary_landmark_16,
row649,y,Ventral_tube_midrib_secondary_landmark_17,
row650,y,Ventral_tube_midrib_secondary_landmark_18,
row651,y,Ventral_tube_midrib_secondary_landmark_19,
row652,y,Ventral_tube_midrib_secondary_landmark_20,
row653,y,Ventral_tube_midrib_secondary_landmark_21,
row654,y,Ventral_tube_midrib_secondary_landmark_22,
row655,y,Ventral_tube_midrib_secondary_landmark_23,
row656,y,Ventral_tube_midrib_secondary_landmark_24,
row657,y,Ventral_tube_midrib_secondary_landmark_25,
row658,y,Ventral_tube_midrib_proximal_end_primary_landmark,
row659,y,Right_lateral_tube_midrib_secondary_landmark_01,
row660,y,Right_lateral_tube_midrib_secondary_landmark_02,
row661,y,Right_lateral_tube_midrib_secondary_landmark_03,
row662,y,Right_lateral_tube_midrib_secondary_landmark_04,
row663,y,Right_lateral_tube_midrib_secondary_landmark_05,
row664,y,Right_lateral_tube_midrib_secondary_landmark_06,
row665,y,Right_lateral_tube_midrib_secondary_landmark_07,
row666,y,Right_lateral_tube_midrib_secondary_landmark_08,
row667,y,Right_lateral_tube_midrib_secondary_landmark_09,
row668,y,Right_lateral_tube_midrib_secondary_landmark_10,
row669,y,Right_lateral_tube_midrib_secondary_landmark_11,
row670,y,Right_lateral_tube_midrib_secondary_landmark_12,
row671,y,Right_lateral_tube_midrib_secondary_landmark_13,
row672,y,Right_lateral_tube_midrib_secondary_landmark_14,
row673,y,Right_lateral_tube_midrib_secondary_landmark_15,
row674,y,Right_lateral_tube_midrib_secondary_landmark_16,
row675,y,Right_lateral_tube_midrib_secondary_landmark_17,
row676,y,Right_lateral_tube_midrib_secondary_landmark_18,
row677,y,Right_lateral_tube_midrib_secondary_landmark_19,
row678,y,Right_lateral_tube_midrib_secondary_landmark_20,
row679,y,Right_lateral_tube_midrib_secondary_landmark_21,
row680,y,Right_lateral_tube_midrib_secondary_landmark_22,
row681,y,Right_lateral_tube_midrib_secondary_landmark_23,
row682,y,Right_lateral_tube_midrib_secondary_landmark_24,
row683,y,Right_lateral_tube_midrib_secondary_landmark_25,
row684,y,Right_lateral_tube_midrib_proximal_end_primary_landmark,
row685,y,Right_dorsal_tube_midrib_secondary_landmark_01,
row686,y,Right_dorsal_tube_midrib_secondary_landmark_02,
row687,y,Right_dorsal_tube_midrib_secondary_landmark_03,
row688,y,Right_dorsal_tube_midrib_secondary_landmark_04,
row689,y,Right_dorsal_tube_midrib_secondary_landmark_05,
row690,y,Right_dorsal_tube_midrib_secondary_landmark_06,
row691,y,Right_dorsal_tube_midrib_secondary_landmark_07,
row692,y,Right_dorsal_tube_midrib_secondary_landmark_08,
row693,y,Right_dorsal_tube_midrib_secondary_landmark_09,
row694,y,Right_dorsal_tube_midrib_secondary_landmark_10,
row695,y,Right_dorsal_tube_midrib_secondary_landmark_11,
row696,y,Right_dorsal_tube_midrib_secondary_landmark_12,
row697,y,Right_dorsal_tube_midrib_secondary_landmark_13,
row698,y,Right_dorsal_tube_midrib_secondary_landmark_14,
row699,y,Right_dorsal_tube_midrib_secondary_landmark_15,
row700,y,Right_dorsal_tube_midrib_secondary_landmark_16,
row701,y,Right_dorsal_tube_midrib_secondary_landmark_17,
row702,y,Right_dorsal_tube_midrib_secondary_landmark_18,
row703,y,Right_dorsal_tube_midrib_secondary_landmark_19,
row704,y,Right_dorsal_tube_midrib_secondary_landmark_20,
row705,y,Right_dorsal_tube_midrib_secondary_landmark_21,
row706,y,Right_dorsal_tube_midrib_secondary_landmark_22,
row707,y,Right_dorsal_tube_midrib_secondary_landmark_23,
row708,y,Right_dorsal_tube_midrib_secondary_landmark_24,
row709,y,Right_dorsal_tube_midrib_secondary_landmark_25,
row710,y,Right_dorsal_tube_midrib_proximal_end_primary_landmark,
row711,y,Dorsal-dorsal_tube_rim_secondary_landmark_01,
row712,y,Dorsal-dorsal_tube_rim_secondary_landmark_02,
row713,y,Dorsal-dorsal_tube_rim_secondary_landmark_03,
row714,y,Dorsal-dorsal_tube_rim_secondary_landmark_04,
row715,y,Dorsal-dorsal_tube_rim_secondary_landmark_05,
row716,y,Dorsal-dorsal_tube_rim_secondary_landmark_06,
row717,y,Dorsal-dorsal_tube_rim_secondary_landmark_07,
row718,y,Dorsal-dorsal_tube_rim_secondary_landmark_08,
row719,y,Dorsal-dorsal_tube_rim_secondary_landmark_09,
row720,y,Dorsal-dorsal_tube_rim_secondary_landmark_10,
row721,y,Dorsal-dorsal_tube_rim_secondary_landmark_11,
row722,y,Dorsal-dorsal_tube_rim_secondary_landmark_12,
row723,y,Dorsal-dorsal_tube_rim_secondary_landmark_13,
row724,y,Dorsal-dorsal_tube_rim_secondary_landmark_14,
row725,y,Dorsal-dorsal_tube_rim_secondary_landmark_15,
row726,y,Dorsal-dorsal_tube_rim_secondary_landmark_16,
row727,y,Dorsal-dorsal_tube_rim_secondary_landmark_17,
row728,y,Dorsal-dorsal_tube_rim_secondary_landmark_18,
row729,y,Dorsal-dorsal_tube_rim_secondary_landmark_19,
row730,y,Dorsal-dorsal_tube_rim_secondary_landmark_20,
row731,y,Dorsal-dorsal_tube_rim_secondary_landmark_21,
row732,y,Dorsal-dorsal_tube_rim_secondary_landmark_22,
row733,y,Dorsal-dorsal_tube_rim_secondary_landmark_23,
row734,y,Dorsal-dorsal_tube_rim_secondary_landmark_24,
row735,y,Dorsal-dorsal_tube_rim_secondary_landmark_25,
row736,y,Dorsal-dorsal_tube_rim_proximal_end_primary_landmark,
row737,y,Left_dorsal-lateral_tube_rim_secondary_landmark_01,
row738,y,Left_dorsal-lateral_tube_rim_secondary_landmark_02,
row739,y,Left_dorsal-lateral_tube_rim_secondary_landmark_03,
row740,y,Left_dorsal-lateral_tube_rim_secondary_landmark_04,
row741,y,Left_dorsal-lateral_tube_rim_secondary_landmark_05,
row742,y,Left_dorsal-lateral_tube_rim_secondary_landmark_06,
row743,y,Left_dorsal-lateral_tube_rim_secondary_landmark_07,
row744,y,Left_dorsal-lateral_tube_rim_secondary_landmark_08,
row745,y,Left_dorsal-lateral_tube_rim_secondary_landmark_09,
row746,y,Left_dorsal-lateral_tube_rim_secondary_landmark_10,
row747,y,Left_dorsal-lateral_tube_rim_secondary_landmark_11,
row748,y,Left_dorsal-lateral_tube_rim_secondary_landmark_12,
row749,y,Left_dorsal-lateral_tube_rim_secondary_landmark_13,
row750,y,Left_dorsal-lateral_tube_rim_secondary_landmark_14,
row751,y,Left_dorsal-lateral_tube_rim_secondary_landmark_15,
row752,y,Left_dorsal-lateral_tube_rim_secondary_landmark_16,
row753,y,Left_dorsal-lateral_tube_rim_secondary_landmark_17,
row754,y,Left_dorsal-lateral_tube_rim_secondary_landmark_18,
row755,y,Left_dorsal-lateral_tube_rim_secondary_landmark_19,
row756,y,Left_dorsal-lateral_tube_rim_secondary_landmark_20,
row757,y,Left_dorsal-lateral_tube_rim_secondary_landmark_21,
row758,y,Left_dorsal-lateral_tube_rim_secondary_landmark_22,
row759,y,Left_dorsal-lateral_tube_rim_secondary_landmark_23,
row760,y,Left_dorsal-lateral_tube_rim_secondary_landmark_24,
row761,y,Left_dorsal-lateral_tube_rim_secondary_landmark_25,
row762,y,Left_dorsal-lateral_tube_rim_proximal_end_primary_landmark,
row763,y,Left_lateral-ventral_tube_rim_secondary_landmark_01,
row764,y,Left_lateral-ventral_tube_rim_secondary_landmark_02,
row765,y,Left_lateral-ventral_tube_rim_secondary_landmark_03,
row766,y,Left_lateral-ventral_tube_rim_secondary_landmark_04,
row767,y,Left_lateral-ventral_tube_rim_secondary_landmark_05,
row768,y,Left_lateral-ventral_tube_rim_secondary_landmark_06,
row769,y,Left_lateral-ventral_tube_rim_secondary_landmark_07,
row770,y,Left_lateral-ventral_tube_rim_secondary_landmark_08,
row771,y,Left_lateral-ventral_tube_rim_secondary_landmark_09,
row772,y,Left_lateral-ventral_tube_rim_secondary_landmark_10,
row773,y,Left_lateral-ventral_tube_rim_secondary_landmark_11,
row774,y,Left_lateral-ventral_tube_rim_secondary_landmark_12,
row775,y,Left_lateral-ventral_tube_rim_secondary_landmark_13,
row776,y,Left_lateral-ventral_tube_rim_secondary_landmark_14,
row777,y,Left_lateral-ventral_tube_rim_secondary_landmark_15,
row778,y,Left_lateral-ventral_tube_rim_secondary_landmark_16,
row779,y,Left_lateral-ventral_tube_rim_secondary_landmark_17,
row780,y,Left_lateral-ventral_tube_rim_secondary_landmark_18,
row781,y,Left_lateral-ventral_tube_rim_secondary_landmark_19,
row782,y,Left_lateral-ventral_tube_rim_secondary_landmark_20,
row783,y,Left_lateral-ventral_tube_rim_secondary_landmark_21,
row784,y,Left_lateral-ventral_tube_rim_secondary_landmark_22,
row785,y,Left_lateral-ventral_tube_rim_secondary_landmark_23,
row786,y,Left_lateral-ventral_tube_rim_secondary_landmark_24,
row787,y,Left_lateral-ventral_tube_rim_secondary_landmark_25,
row788,y,Left_lateral-ventral_tube_rim_proximal_end_primary_landmark,
row789,y,Right_lateral-ventral_tube_rim_secondary_landmark_01,
row790,y,Right_lateral-ventral_tube_rim_secondary_landmark_02,
row791,y,Right_lateral-ventral_tube_rim_secondary_landmark_03,
row792,y,Right_lateral-ventral_tube_rim_secondary_landmark_04,
row793,y,Right_lateral-ventral_tube_rim_secondary_landmark_05,
row794,y,Right_lateral-ventral_tube_rim_secondary_landmark_06,
row795,y,Right_lateral-ventral_tube_rim_secondary_landmark_07,
row796,y,Right_lateral-ventral_tube_rim_secondary_landmark_08,
row797,y,Right_lateral-ventral_tube_rim_secondary_landmark_09,
row798,y,Right_lateral-ventral_tube_rim_secondary_landmark_10,
row799,y,Right_lateral-ventral_tube_rim_secondary_landmark_11,
row800,y,Right_lateral-ventral_tube_rim_secondary_landmark_12,
row801,y,Right_lateral-ventral_tube_rim_secondary_landmark_13,
row802,y,Right_lateral-ventral_tube_rim_secondary_landmark_14,
row803,y,Right_lateral-ventral_tube_rim_secondary_landmark_15,
row804,y,Right_lateral-ventral_tube_rim_secondary_landmark_16,
row805,y,Right_lateral-ventral_tube_rim_secondary_landmark_17,
row806,y,Right_lateral-ventral_tube_rim_secondary_landmark_18,
row807,y,Right_lateral-ventral_tube_rim_secondary_landmark_19,
row808,y,Right_lateral-ventral_tube_rim_secondary_landmark_20,
row809,y,Right_lateral-ventral_tube_rim_secondary_landmark_21,
row810,y,Right_lateral-ventral_tube_rim_secondary_landmark_22,
row811,y,Right_lateral-ventral_tube_rim_secondary_landmark_23,
row812,y,Right_lateral-ventral_tube_rim_secondary_landmark_24,
row813,y,Right_lateral-ventral_tube_rim_secondary_landmark_25,
row814,y,Right_lateral-ventral_tube_rim_proximal_end_primary_landmark,
row815,y,Right_dorsal-lateral_tube_rim_secondary_landmark_01,
row816,y,Right_dorsal-lateral_tube_rim_secondary_landmark_02,
row817,y,Right_dorsal-lateral_tube_rim_secondary_landmark_03,
row818,y,Right_dorsal-lateral_tube_rim_secondary_landmark_04,
row819,y,Right_dorsal-lateral_tube_rim_secondary_landmark_05,
row820,y,Right_dorsal-lateral_tube_rim_secondary_landmark_06,
row821,y,Right_dorsal-lateral_tube_rim_secondary_landmark_07,
row822,y,Right_dorsal-lateral_tube_rim_secondary_landmark_08,
row823,y,Right_dorsal-lateral_tube_rim_secondary_landmark_09,
row824,y,Right_dorsal-lateral_tube_rim_secondary_landmark_10,
row825,y,Right_dorsal-lateral_tube_rim_secondary_landmark_11,
row826,y,Right_dorsal-lateral_tube_rim_secondary_landmark_12,
row827,y,Right_dorsal-lateral_tube_rim_secondary_landmark_13,
row828,y,Right_dorsal-lateral_tube_rim_secondary_landmark_14,
row829,y,Right_dorsal-lateral_tube_rim_secondary_landmark_15,
row830,y,Right_dorsal-lateral_tube_rim_secondary_landmark_16,
row831,y,Right_dorsal-lateral_tube_rim_secondary_landmark_17,
row832,y,Right_dorsal-lateral_tube_rim_secondary_landmark_18,
row833,y,Right_dorsal-lateral_tube_rim_secondary_landmark_19,
row834,y,Right_dorsal-lateral_tube_rim_secondary_landmark_20,
row835,y,Right_dorsal-lateral_tube_rim_secondary_landmark_21,
row836,y,Right_dorsal-lateral_tube_rim_secondary_landmark_22,
row837,y,Right_dorsal-lateral_tube_rim_secondary_landmark_23,
row838,y,Right_dorsal-lateral_tube_rim_secondary_landmark_24,
