Taxa(Species/Node),Isolate(SpecimenID/repeat),Centroid_size,Tube_curvature,Lobe_area_ratio,Tube_dilation,Lobe_recurvation
Sinningia_sellovii,K039186_12,88486.0115,0.000151946,0.072152462,1.473709659,182.6124613
Sinningia_sellovii,K039186_13,92227.6918,0.000049374,0.086710001,1.773831644,171.851109
Sinningia_sellovii,K039186_15,90458.32303,-0.000085786,0.089538501,1.791994117,150.2074015
Sinningia_sellovii,K039186_16,91125.8548,0.000046171,0.084867852,1.824722575,160.1355989
Sinningia_tubiflora,K039197_02,248221.0554,0.000246441,0.101562177,0.601946619,673.0324106
Sinningia_tubiflora,K039198_01,277011.8205,0.000194969,0.082191941,0.62932813,457.7477019
Sinningia_tubiflora,K039198_02,276188.1057,0.000249743,0.09356405,0.605632302,361.1771618
Sinningia_tubiflora,K039200_01,262871.758,0.000279595,0.096095622,0.605348598,498.7158639
Sinningia_tubiflora,K039200_03,270445.1365,0.000244709,0.097818793,0.586481484,509.9200809
Sinningia_valsuganensis,K039203_01,161265.268,-0.000216299,0.06257682,0.734351963,432.5072827
Sinningia_valsuganensis,K039203_02,159216.8058,-0.000197970,0.067696694,0.76503561,410.7789624
Sinningia_valsuganensis,K039203_03,157985.5562,-0.000194998,0.054764709,0.737469627,416.7254764
Sinningia_valsuganensis,K039203_04,159106.7261,-0.000228353,0.062435679,0.755188087,409.0451869
Sinningia_valsuganensis,K039203_05,164127.7015,-0.000263611,0.059423739,0.706561399,432.976555
Sinningia_warmingii,K039205_01,143744.2471,-0.000034393,0.047891449,0.585081977,202.696563
Sinningia_warmingii,K039205_03,144513.5948,0.000016285,0.055795037,0.584899973,159.5113496
Sinningia_warmingii,K039209_03,143986.585,-0.000020178,0.05063761,0.581789152,188.6120203
Sinningia_warmingii,K039209_09,149476.0414,0.000094272,0.050663304,0.602318994,192.603439
Sinningia_warmingii,K039216_02,144964.5678,0.000014343,0.053482868,0.586517185,156.1001951
Node_01,rep_001,154324.5373,0.000597321,0.075828524,1.5519784,296.2317635
Node_01,rep_002,152615.8952,0.000633893,0.079359001,1.522153561,316.9628616
Node_01,rep_003,152398.5979,0.000616273,0.079200931,1.522934547,335.0877124
Node_01,rep_004,152194.5378,0.000623478,0.076062586,1.55917932,285.5324816
Node_01,rep_005,154308.2825,0.000644913,0.081958118,1.539337752,350.2839666
Node_01,rep_006,152418.1115,0.000591065,0.077926747,1.5520848,288.7256271
Node_01,rep_007,151983.3581,0.000623842,0.081034854,1.539263369,346.0367763
Node_01,rep_008,151951.0792,0.000624222,0.07780161,1.572112701,315.3190033
Node_01,rep_009,153859.3994,0.000583016,0.079538896,1.546841612,320.0582517
Node_01,rep_010,153684.4795,0.000648246,0.077721972,1.550870006,322.0898364
Node_01,rep_011,155530.2313,0.000628418,0.078625469,1.558003509,330.5607559
Node_01,rep_012,152549.4558,0.000632672,0.080650642,1.542868944,353.4807552
Node_01,rep_013,151802.9108,0.000622193,0.079831821,1.54387199,309.7256368
Node_01,rep_014,153221.6054,0.000607698,0.076337899,1.538762874,298.4098509
Node_01,rep_015,152963.948,0.000640573,0.081041907,1.544729544,353.1209649
Node_01,rep_016,153619.4666,0.000627259,0.077778869,1.521953073,336.9816846
Node_01,rep_017,153966.9793,0.0005957,0.076734609,1.553900604,294.5950693
Node_01,rep_018,154089.7553,0.000658302,0.078244713,1.557842556,323.5041225
Node_01,rep_019,155544.2983,0.00062337,0.076034411,1.551772263,288.3359555
Node_01,rep_020,152506.0601,0.000630252,0.076617749,1.564647705,295.8329378
Node_01,rep_021,151556.3925,0.000574066,0.077281737,1.526735424,291.3687871
Node_01,rep_022,153958.7333,0.000618083,0.080107627,1.55356786,327.0442994
Node_01,rep_023,154441.0136,0.000600136,0.077635592,1.549136145,319.4760364
Node_01,rep_024,153781.1113,0.000615012,0.078676632,1.575645179,312.3769169
Node_01,rep_025,153654.7533,0.000626754,0.079480194,1.54049584,315.7686351
Node_01,rep_026,154211.5359,0.000652737,0.081666004,1.541819234,354.4073478
Node_01,rep_027,153005.6024,0.000607963,0.077930855,1.522472001,337.4913308
Node_01,rep_028,153447.362,0.000638784,0.078924402,1.544222818,315.7652006
Node_01,rep_029,152250.465,0.000628866,0.078719211,1.572026856,314.4685394
Node_01,rep_030,155518.2626,0.000635252,0.078349608,1.551029801,334.712265
Node_01,rep_031,154935.2967,0.000626165,0.078399968,1.551070235,334.7935496
Node_01,rep_032,152137.9624,0.000613841,0.076251321,1.542542961,300.0940261
Node_01,rep_033,152309.654,0.000595535,0.079151583,1.55003239,308.296351
Node_01,rep_034,155030.8909,0.000591156,0.077253704,1.553969014,274.1132542
Node_01,rep_035,152878.8373,0.00062854,0.079633458,1.554431438,325.8262551
Node_01,rep_036,152687.5129,0.000663329,0.078296214,1.567149988,324.1183858
Node_01,rep_037,154620.26,0.000579522,0.07894,1.548239263,319.7454674
